,Date,Close,buy,share,cost,total_shares,total_cost,stock_value,ex_dividend_date,dividend_amount,dividend_cash,capital_gains,dividend_ratio
0,2008-01-02,60.009998,0,0,0.0,0,0.0,0.0,0,0.0,0,,
1,2008-01-03,58.889999,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
2,2008-01-04,59.009998,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
3,2008-01-07,56.389999,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
4,2008-01-08,56.98,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
5,2008-01-09,58.200001,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
6,2008-01-10,57.650002,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
7,2008-01-11,57.470001,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
8,2008-01-14,58.459999,0,0,0.0,0,0.0,0.0,0,0.0,0,,0.0
9,2008-01-15,60.27,1,1000,60270.0,1000,60270.0,60270.0,0,0.0,0,0.0,0.0
10,2008-01-16,58.310001,0,0,0.0,1000,60270.0,58310.001,0,0.0,0,-3.2520308611249438,0.0
11,2008-01-17,57.900002,0,0,0.0,1000,60270.0,57900.002,0,0.0,0,-3.9323013107682088,0.0
12,2008-01-18,58.34,0,0,0.0,1000,60270.0,58340.0,0,0.0,0,-3.202256512361042,0.0
13,2008-01-21,57.669998,0,0,0.0,1000,60270.0,57669.998,0,0.0,0,-4.313924008627842,0.0
14,2008-01-22,53.919998,0,0,0.0,1000,60270.0,53919.998,0,0.0,0,-10.535925004148002,0.0
15,2008-01-23,53.450001,0,0,0.0,1000,60270.0,53450.001000000004,0,0.0,0,-11.315744151319059,0.0
16,2008-01-24,54.529999,0,0,0.0,1000,60270.0,54529.998999999996,0,0.0,0,-9.523811183009796,0.0
17,2008-01-25,56.16,0,0,0.0,1000,60270.0,56160.0,0,0.0,0,-6.819313091090094,0.0
18,2008-01-28,54.279999,0,0,0.0,1000,60270.0,54279.998999999996,0,0.0,0,-9.938611249377805,0.0
19,2008-01-29,55.209999,0,0,0.0,1000,60270.0,55209.999,0,0.0,0,-8.395555002488795,0.0
20,2008-01-30,54.970001,0,0,0.0,1000,60270.0,54970.001000000004,0,0.0,0,-8.793759747801554,0.0
21,2008-01-31,55.099998,0,0,0.0,1000,60270.0,55099.998,0,0.0,0,-8.57806869089099,0.0
22,2008-02-01,56.029999,0,0,0.0,1000,60270.0,56029.998999999996,0,0.0,0,-7.035010784801732,0.0
